ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JULHO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4672942","-48,4612573",18:00:00
2019,ABRIL,SAO JOAO DO OUTEIRO,OUTEIRO,RESIDENCIA PARTICULAR,"-1,2650215","-48,4717809",18:00:00
2019,AGOSTO,NAZARE,BELEM,RESIDENCIA PARTICULAR,,,01:00:00
2019,JANEIRO,CIDADE VELHA,BELEM,"CAFE, BAR, RESTAURANTE","-1,456538","-48,5057884",22:30:00
2019,MARCO,CURIO-UTINGA,BELEM,RESIDENCIA PARTICULAR,"-1,4300814","-48,4466466",11:40:00
2019,JULHO,CAMPINA DE ICOARACI,ICOARACI,RESIDENCIA PARTICULAR,"-1,3003178","-48,4676155",03:00:00
2019,SETEMBRO,BATISTA CAMPOS,BELEM,RESIDENCIA PARTICULAR,"-1,4589754","-48,4891891",17:10:00
2019,SETEMBRO,BATISTA CAMPOS,BELEM,RESIDENCIA PARTICULAR,"-1,4589754","-48,4891891",16:20:00
2019,JUNHO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,47275","-48,4853539",15:45:00
2019,MAIO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4114645","-48,4712581",17:55:00
2019,MAIO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4207166","-48,4654652",19:30:00
2019,JULHO,VAL-DE-CANS,BELEM,RESIDENCIA PARTICULAR,"-1,3859921","-48,4604399",23:45:00
2019,OUTUBRO,CONDOR,BELEM,"CAFE, BAR, RESTAURANTE","-1,4741416","-48,4760251",21:45:00
2019,ABRIL,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4578842","-48,4613602",13:00:00
2019,ABRIL,MANGUEIRAO,BELEM,RESIDENCIA PARTICULAR,"-1,3785112","-48,4452235",11:00:00
2019,AGOSTO,CREMACAO,BELEM,RESIDENCIA PARTICULAR,"-1,4652402","-48,4797698",18:00:00
2019,SETEMBRO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,470512","-48,4638658",05:25:00
2019,SETEMBRO,PEDREIRA,BELEM,OUTROS,"-1,4196265","-48,4760915",17:30:00
2019,SETEMBRO,CONDOR,BELEM,RESIDENCIA PARTICULAR,"-1,472312","-48,481305",18:10:00
2019,AGOSTO,COQUEIRO BELEM,BELEM,ESTABELECIMENTO DE ENSINO,"-1,3431097","-48,4468712",16:00:00
