ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JULHO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3223114","-48,4455564",18:00:00
2019,JUNHO,ARIRAMBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,334416","-48,4397741",15:00:00
2019,FEVEREIRO,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3501429","-48,4526729",19:00:00
2019,JULHO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3377241","-48,4682825",09:00:00
2019,AGOSTO,MARACACUERA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3092837","-48,45678041",15:25:00
2019,SETEMBRO,MARAMBAIA,BELEM,OUTROS,"-1,4047196","-48,44867",17:20:00
2019,SETEMBRO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4168392","-48,4766358",18:00:00
2019,OUTUBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3581876","-48,464618",18:00:00
2019,AGOSTO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4347453","-48,4861998",10:40:00
2019,AGOSTO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,4281772","-48,491651",11:30:00
2019,OUTUBRO,PONTA GROSSA,ICOARACI,RESIDENCIA PARTICULAR,"-1,307848","-48,4718912",15:25:00
2019,OUTUBRO,FATIMA,BELEM,RESIDENCIA PARTICULAR,"-1,4557033","-48,4756525",09:30:00
2019,MARCO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3654403","-48,4054476",17:00:00
2019,AGOSTO,AGUAS NEGRAS,ICOARACI,RESIDENCIA PARTICULAR,"-1,3054215","-48,4565106",19:30:00
2019,SETEMBRO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3473879","-48,4473199",15:15:00
2019,JANEIRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,3993766","-48,4738045",12:00:00
2019,SETEMBRO,PRATINHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3626106","-48,4717729",15:30:00
2019,AGOSTO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4409355","-48,4843235",15:40:00
2019,MARCO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4642102","-48,4557736",19:41:00
2019,ABRIL,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4057825","-48,4513435",10:30:00
2019,ABRIL,CASTANHEIRA,BELEM,RESIDENCIA PARTICULAR,"-1,3998735","-48,4301004",23:30:00
2019,OUTUBRO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4038022","-48,4600968",13:20:00
2019,AGOSTO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4685593","-48,4714401",11:00:00
2019,OUTUBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3393092","-48,4755969",16:00:00
2019,SETEMBRO,PRATINHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3626106","-48,4717729",15:30:00
2019,JANEIRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,4538836","-48,4651286",21:00:00
2019,MAIO,AGULHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3065318","-48,4752794",12:00:00
2019,JUNHO,CAMPINA,BELEM,RESIDENCIA PARTICULAR,"-1,4496046","-48,4949391",16:40:00
2019,JULHO,CURIO-UTINGA,BELEM,RESIDENCIA PARTICULAR,"-1,4260522","-48,4509145",19:05:00
2019,JULHO,ITAITEUA,OUTEIRO,RESIDENCIA PARTICULAR,"-1,3382044","-48,4363982",15:00:00
2019,AGOSTO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3387011","-48,4737198",13:00:00
2019,SETEMBRO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4409355","-48,4843235",17:45:00
2019,SETEMBRO,CREMACAO,BELEM,VIA PUBLICA,"-1,4612807","-48,4762267",23:30:00
2019,JUNHO,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,4424653","-48,4689773",11:00:00
2019,MAIO,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3569628","-48,4562633",22:00:00
2019,SETEMBRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3255728","-48,4368089",07:30:00
2019,JUNHO,NAZARE,BELEM,RESIDENCIA PARTICULAR,"-1,4481494","-48,4817205",16:40:00
2019,JUNHO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4006868","-48,4911489",16:05:00
2019,JUNHO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3300986","-48,4706271",09:10:00
2019,JUNHO,SAO JOAO DO OUTEIRO,OUTEIRO,OUTROS,"-1,2611158","-48,4670931",14:00:00
2019,JUNHO,PARACURI,ICOARACI,"HOTEL, PENSAO, ETC","-1,3282459","-48,4566957",19:00:00
2019,FEVEREIRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,327628687","-48,47762375",15:00:00
2019,ABRIL,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,464871","-48,4570771",10:30:00
2019,JULHO,GUAMA,BELEM,VIA PUBLICA,"-1,492426879","-48,46258163",16:40:00
2019,OUTUBRO,PARACURI,ICOARACI,RESIDENCIA PARTICULAR,"-1,3160837","-48,4754412",19:30:00
2019,DEZEMBRO,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0924591","-48,4064143",11:30:00
2019,DEZEMBRO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4409355","-48,4843235",18:10:00
2019,OUTUBRO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4726386","-48,4868245",07:00:00
2019,SETEMBRO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4011498","-48,482378",17:55:00
2019,JANEIRO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,419825","-48,4903546",15:40:00
2019,NOVEMBRO,GUAMA,BELEM,ESTABELECIMENTO DE ENSINO,"-1,4689835","-48,4585392",22:10:00
2019,FEVEREIRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,451965","-48,479018",19:00:00
2019,SETEMBRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3138758","-48,434399",09:00:00
2019,OUTUBRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3258614","-48,4381305",15:15:00
2019,SETEMBRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,319304","-48,4450537",11:00:00
2019,NOVEMBRO,MANGUEIRAO,BELEM,RESIDENCIA PARTICULAR,"-1,404831","-48,4688866",07:00:00
2019,DEZEMBRO,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3561498","-48,458679",12:12:00
2019,OUTUBRO,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0942248","-48,4099249",10:00:00
2019,NOVEMBRO,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3626106","-48,4717729",15:12:00
2019,OUTUBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3393092","-48,4755969",16:00:00
2019,ABRIL,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4638866","-48,4632953",17:00:00
2019,AGOSTO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4750603","-48,4892209",17:05:00
2019,OUTUBRO,PRATINHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3617234","-48,4678773",00:00:00
2019,JULHO,CASTANHEIRA,BELEM,RESIDENCIA PARTICULAR,"-1,3963108","-48,4347662",10:00:00
2019,NOVEMBRO,BRASILIA,OUTEIRO,RESIDENCIA PARTICULAR,"-1,276928","-48,4771981",01:00:00
2019,NOVEMBRO,PARACURI,ICOARACI,RESIDENCIA PARTICULAR,"-1,3142468","-48,476896",23:59:00
2019,JUNHO,PARQUE GUAJARA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3355594","-48,4574981",22:00:00
2019,SETEMBRO,CAMPINA DE ICOARACI,ICOARACI,RESIDENCIA PARTICULAR,"-1,2911148","-48,4640905",07:00:00
2019,NOVEMBRO,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4123723","-48,4779709",13:00:00
2019,MAIO,COQUEIRO BELEM,BELEM,CONDOMINIO RESIDENCIAL,"-1,356804","-48,439863",23:55:00
2019,OUTUBRO,CREMACAO,BELEM,RESIDENCIA PARTICULAR,"-1,457277","-48,4804703",08:30:00
2019,OUTUBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3393092","-48,4755969",10:00:00
2019,AGOSTO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3717818","-48,4292096",13:00:00
2019,NOVEMBRO,PONTA GROSSA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3042052","-48,4792923",20:00:00
2019,AGOSTO,COQUEIRO BELEM,BELEM,CRECHE,"-1,3654403","-48,4054476",15:00:00
2019,OUTUBRO,AGULHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3077013","-48,4689704",16:00:00
2019,NOVEMBRO,CURIO-UTINGA,BELEM,RESIDENCIA PARTICULAR,"-1,4293274","-48,4477277",19:00:00
2019,NOVEMBRO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4740792","-48,4910573",10:00:00
2019,NOVEMBRO,CURIO-UTINGA,BELEM,RESIDENCIA PARTICULAR,"-1,4315633","-48,4451174",15:15:00
2019,NOVEMBRO,MARACACUERA,ICOARACI,RESIDENCIA PARTICULAR,"-1,2736017","-48,4388915",15:15:00
2019,DEZEMBRO,PONTA GROSSA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3088831","-48,4781073",15:50:00
2019,OUTUBRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3287122","-48,4814247",15:15:00
2019,NOVEMBRO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4581341","-48,470768",17:30:00
2019,DEZEMBRO,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3584115","-48,4509509",20:00:00
2019,OUTUBRO,CREMACAO,BELEM,HABITACAO COLETIVA,"-1,457277","-48,4804703",14:00:00
2019,SETEMBRO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4409355","-48,4843235",13:25:00
2019,AGOSTO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4627324","-48,4511571",10:30:00
2019,JUNHO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4685388","-48,4991181",18:05:00
2019,DEZEMBRO,CABANAGEM,BELEM,VIA PUBLICA,"-1,3642971","-48,4353299",07:00:00
2019,MARCO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4597361","-48,4506076",13:00:00
2019,MAIO,CASTANHEIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4087924","-48,4263922",17:25:00
2019,JULHO,CAMPINA,BELEM,RESIDENCIA PARTICULAR,"-1,4491263","-48,4964484",22:00:00
2019,JUNHO,CONDOR,BELEM,RESIDENCIA PARTICULAR,"-1,4692107","-48,482806",12:00:00
2019,MARCO,CRUZEIRO,ICOARACI,ESTABELECIMENTO DE ENSINO,"-1,3022871","-48,4834347",14:00:00
2019,MAIO,CHAPEU VIRADO,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,1335346","-48,452773",02:05:00
2019,MAIO,UMARIZAL,BELEM,HOSPITAL,"-1,4523929","-48,4828214",13:00:00
2019,JULHO,PARQUE VERDE,BELEM,OUTROS,"-1,3572853","-48,4445889",15:00:00
2019,JANEIRO,SACRAMENTA,BELEM,PROSTIBULO,"-1,4193795","-48,477179",15:00:00
2019,MAIO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3767964","-48,4375846",11:55:00
2019,JANEIRO,UNA,BELEM,CONDOMINIO RESIDENCIAL,"-1,3765549","-48,425966",10:00:00
