ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,NOVEMBRO,SAB,GUAMA,BELEM,VIA PUBLICA,"-1,460996","-48,4568843",02:00:00
2019,DEZEMBRO,TER,JURUNAS,BELEM,VIA PUBLICA,"-1,4693695","-48,4863504",15:05:00
2019,OUTUBRO,QUI,CABANAGEM,BELEM,VIA PUBLICA,"-1,3612206","-48,4383898",02:00:00
2019,ABRIL,DOM,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",08:00:00
2019,DEZEMBRO,SEG,CABANAGEM,BELEM,VIA PUBLICA,"-1,3685128","-48,4359391",12:00:00
2019,FEVEREIRO,QUA,GUAMA,BELEM,VIA PUBLICA,"-1,466647506","-48,466079712",23:50:00
2019,FEVEREIRO,QUI,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4018031","-48,4426182",19:00:00
2019,AGOSTO,SEG,CABANAGEM,BELEM,VIA PUBLICA,"-1,373647","-48,4355859",19:05:00
2019,NOVEMBRO,DOM,MANGUEIRAO,BELEM,RESIDENCIA PARTICULAR,"-1,3839231","-48,4522668",23:40:00
2019,JULHO,SEX,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,3471907","-48,4469434",21:00:00
2019,NOVEMBRO,QUA,CABANAGEM,BELEM,VIA PUBLICA,"-1,3661643","-48,4303929",17:00:00
2019,JANEIRO,TER,JURUNAS,BELEM,VIA PUBLICA,"-1,4708435067347987","-48,48865151401697",21:30:00
2019,JULHO,QUI,GUAMA,BELEM,VIA PUBLICA,"-1,4661589","-48,4606743",05:00:00
2019,FEVEREIRO,SAB,BENGUI,BELEM,VIA PUBLICA,"-1,3774752","-48,4566001",01:30:00
2019,SETEMBRO,SAB,GUAMA,BELEM,VIA PUBLICA,"-1,46232641","-48,46305907",19:00:00
2019,DEZEMBRO,SEX,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4669419","-48,4698422",06:00:00
2019,ABRIL,SEG,PRAIA GRANDE,MOSQUEIRO,VIA PUBLICA,"-1,1448267","-48,4631408",03:00:00
2019,OUTUBRO,SEG,PONTA GROSSA,ICOARACI,VIA PUBLICA,"-1,2930869","-48,4840325",03:00:00
2019,FEVEREIRO,QUI,PEDREIRA,BELEM,VIA PUBLICA,"-1,4191006","-48,4664292",15:00:00
2019,ABRIL,QUI,PEDREIRA,BELEM,VIA PUBLICA,"-1,434701","-48,4675376",01:00:00
2019,MARCO,DOM,JURUNAS,BELEM,VIA PUBLICA,"-1,4687566","-48,4900951",20:00:00
2019,ABRIL,QUA,JURUNAS,BELEM,VIA PUBLICA,"-1,47376","-48,49273",19:00:00
2019,ABRIL,DOM,MARACACUERA,ICOARACI,RESIDENCIA PARTICULAR,"-1,2997407","-48,44716",04:00:00
2019,AGOSTO,TER,PARACURI,ICOARACI,VIA PUBLICA,"-1,3172435","-48,4855037",15:30:00
2019,SETEMBRO,SEG,CRUZEIRO,ICOARACI,VIA PUBLICA,"-1,296397","-48,4841282",07:40:00
2019,AGOSTO,QUA,TAPANA,ICOARACI,VIA PUBLICA,"-1,3387568","-48,4737282",16:25:00
2019,NOVEMBRO,TER,TENONE,ICOARACI,VIA PUBLICA,"-1,3185105","-48,436132",05:30:00
2019,NOVEMBRO,SAB,BARREIRO,BELEM,VIA PUBLICA,"-1,4156143","-48,4914437",20:15:00
2019,DEZEMBRO,SAB,CABANAGEM,BELEM,VIA PUBLICA,"-1,3699205","-48,4309208",21:00:00
2019,OUTUBRO,QUA,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,3760126","-48,4387955",12:00:00
2019,SETEMBRO,QUA,PORTO ARTHUR,MOSQUEIRO,VIA PUBLICA,"-1,1296","-48,4485",23:00:00
2019,SETEMBRO,QUI,COQUEIRO BELEM,BELEM,LOGRADORO PUBLICO,"-1,3510033","-48,4404753",19:30:00
2019,DEZEMBRO,SEX,MARACACUERA,ICOARACI,VIA PUBLICA,"-1,2997407","-48,44716",15:45:00
2019,MAIO,QUA,MARAMBAIA,BELEM,VIA PUBLICA,"-1,3962307","-48,4437813",19:50:00
2019,ABRIL,DOM,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4053772","-48,4473586",22:00:00
2019,JANEIRO,SAB,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,2544176","-48,4547416",01:30:00
2019,JANEIRO,QUI,CONDOR,BELEM,VIA PUBLICA,"-1,4721649","-48,4736937",19:00:00
2019,JULHO,DOM,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4656499","-48,4714028",23:00:00
2019,MAIO,QUI,CANUDOS,BELEM,OUTROS,"-1,4533833","-48,4588324",13:30:00
2019,AGOSTO,QUI,CANUDOS,BELEM,VIA PUBLICA,"-1,453590602","-48,46101522",22:30:00
2019,SETEMBRO,SEX,CAMPINA DE ICOARACI,ICOARACI,VIA PUBLICA,"-1,2923107","-48,4777926",22:15:00
2019,MARCO,DOM,GUAMA,BELEM,VIA PUBLICA,"-1,4638866","-48,4632953",15:15:00
2019,AGOSTO,SAB,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4565104","-48,4541069",02:00:00
2019,OUTUBRO,TER,MARCO,BELEM,VIA PUBLICA,"-1,4324695","-48,4576312",20:00:00
2019,MARCO,SAB,CANUDOS,BELEM,VIA PUBLICA,"-1,4525189","-48,4611917",19:00:00
2019,JULHO,SEG,CARANANDUBA,MOSQUEIRO,VIA PUBLICA,"-1,0988758","-48,4048385",00:30:00
2019,ABRIL,SEG,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4554559","-48,4521573",23:00:00
2019,MARCO,SAB,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,4084993","-48,4368877",04:00:00
2019,ABRIL,SEG,CAMPINA,BELEM,VIA PUBLICA,"-1,4519977","-48,5010205",16:30:00
2019,FEVEREIRO,TER,JURUNAS,BELEM,VIA PUBLICA,"-1,4627768743567793","-48,49584102630616",11:40:00
2019,SETEMBRO,QUI,CAMPINA DE ICOARACI,ICOARACI,VIA PUBLICA,"-1,3010374","-48,46294",19:20:00
2019,AGOSTO,SEX,CABANAGEM,BELEM,VIA PUBLICA,"-1,3623667","-48,4380019",03:00:00
2019,JUNHO,TER,ITAITEUA,OUTEIRO,VIA PUBLICA,"-1,2694595","-48,4489863",23:00:00
2019,JUNHO,SAB,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,25838","-48,45488",03:00:00
2019,OUTUBRO,QUA,CIDADE VELHA,BELEM,VIA PUBLICA,"-1,4567109","-48,5031599",11:00:00
2019,JULHO,SAB,UNA,BELEM,RESIDENCIA PARTICULAR,"-1,3713637","-48,4249741",04:00:00
2019,ABRIL,TER,CREMACAO,BELEM,CASA COMERCIAL,"-1,4608268","-48,4847842",15:30:00
2019,FEVEREIRO,QUI,CAMPINA,BELEM,VIA PUBLICA,"-1,4498308","-48,5005344",01:45:00
2019,MARCO,QUA,GUAMA,BELEM,VIA PUBLICA,"-1,4576614","-48,4721744",17:30:00
2019,OUTUBRO,DOM,CURIO-UTINGA,BELEM,RESIDENCIA PARTICULAR,"-1,4302112","-48,4449063",07:00:00
2019,JULHO,SEX,JURUNAS,BELEM,VIA PUBLICA,"-1,4752786","-48,4944678",18:00:00
2019,OUTUBRO,QUI,CONDOR,BELEM,VIA PUBLICA,"-1,4708883","-48,4773171",01:40:00
2019,AGOSTO,SEG,MARAHU,MOSQUEIRO,"MAR, RIO, LAGOA","-1,074399","-48,3991201",15:00:00
2019,AGOSTO,QUA,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4053772","-48,4473586",01:35:00
2019,ABRIL,DOM,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",08:00:00
2019,DEZEMBRO,QUA,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",07:30:00
2019,NOVEMBRO,QUI,MURUBIRA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,1211824","-48,4430302",23:00:00
2019,MARCO,QUA,TAPANA,ICOARACI,VIA PUBLICA,"-1,3439159","-48,474735",18:30:00
2019,MARCO,DOM,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4549837","-48,4513233",16:00:00
2019,AGOSTO,SEX,JURUNAS,BELEM,VIA PUBLICA,"-1,467313","-48,498653",18:00:00
2019,FEVEREIRO,SAB,AGULHA,ICOARACI,VIA PUBLICA,"-1,3101097","-48,4585109",21:00:00
2019,FEVEREIRO,SEX,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4017055","-48,4544588",23:00:00
2019,OUTUBRO,QUI,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4202064","-48,4772885",21:00:00
2019,JANEIRO,TER,PEDREIRA,BELEM,VIA PUBLICA,"-1,425845","-48,4742543",16:30:00
2019,MAIO,SEX,BRASILIA,OUTEIRO,RESIDENCIA PARTICULAR,"-1,2719769","-48,4792346",02:00:00
2019,JUNHO,DOM,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4265198","-48,4466807",05:00:00
2019,JANEIRO,SEG,CABANAGEM,BELEM,VIA PUBLICA,"-1,3661643","-48,4303929",13:10:00
2019,OUTUBRO,SEX,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,368897","-48,4611168",01:00:00
2019,FEVEREIRO,DOM,SAO JOAO DO OUTEIRO,OUTEIRO,RESIDENCIA PARTICULAR,"-1,2541783","-48,4525527",23:45:00
2019,FEVEREIRO,DOM,CONDOR,BELEM,VIA PUBLICA,"-1,4741157","-48,4746933",19:00:00
2019,AGOSTO,SAB,CARUARA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,1146404","-48,4305264",22:00:00
2019,FEVEREIRO,QUA,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4302445","-48,4660556",20:00:00
2019,FEVEREIRO,SEX,CAMPINA,BELEM,VIA PUBLICA,"-1,4538119","-48,4997781",22:50:00
2019,AGOSTO,DOM,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3641297","-48,4379262",22:30:00
2019,JULHO,SEG,COQUEIRO BELEM,BELEM,"CAFE, BAR, RESTAURANTE","-1,3410457","-48,4486117",22:30:00
2019,AGOSTO,QUA,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,37495","-48,43815",01:00:00
2019,AGOSTO,DOM,GUAMA,BELEM,VIA PUBLICA,"-1,464138992","-48,46147656",00:10:00
2019,JUNHO,SEG,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4368186","-48,4371381",18:20:00
2019,OUTUBRO,SEX,SOUZA,BELEM,VIA PUBLICA,"-1,42249","-48,45091",17:10:00
2019,AGOSTO,SAB,BARREIRO,BELEM,VIA PUBLICA,"-1,41561","-48,49337",21:00:00
2019,JANEIRO,SAB,GUAMA,BELEM,VIA PUBLICA,"-1,45903","-48,45944",21:00:00
2019,AGOSTO,DOM,CHAPEU VIRADO,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,13386","-48,45382",16:30:00
2019,ABRIL,TER,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,09695","-48,40512",12:00:00
2019,NOVEMBRO,QUA,CABANAGEM,BELEM,VIA PUBLICA,"-1,36335","-48,43332",22:30:00
2019,MAIO,SEX,CONDOR,BELEM,RESIDENCIA PARTICULAR,"-1,4685237","-48,4766784",19:00:00
2019,NOVEMBRO,SEG,BENGUI,BELEM,VIA PUBLICA,"-1,3781938","-48,4542059",05:00:00
2019,DEZEMBRO,SEG,CARANANDUBA,MOSQUEIRO,VIA PUBLICA,"-1,0942248","-48,4099249",07:00:00
2019,DEZEMBRO,SEG,JURUNAS,BELEM,VIA PUBLICA,"-1,471840184","-48,49483461",21:00:00
2019,DEZEMBRO,TER,BARREIRO,BELEM,CASA COMERCIAL,"-1,4150568","-48,493041",10:00:00
2019,DEZEMBRO,SAB,SAO BRAS,BELEM,VIA PUBLICA,"-1,4524683","-48,4643227",22:30:00
2019,NOVEMBRO,SEG,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3663553","-48,4444989",14:30:00
2019,DEZEMBRO,QUI,CARANANDUBA,MOSQUEIRO,VIA PUBLICA,"-1,0988758","-48,4048385",10:40:00
2019,DEZEMBRO,TER,PARQUE VERDE,BELEM,CONDOMINIO RESIDENCIAL,"-1,3565933","-48,4507684",17:30:00
2019,DEZEMBRO,SAB,CABANAGEM,BELEM,VIA PUBLICA,"-1,3642971","-48,4353299",19:30:00
2019,DEZEMBRO,QUI,VAL-DE-CANS,BELEM,VIA PUBLICA,"-1,3963274","-48,4762786",00:00:00
2019,NOVEMBRO,SAB,FATIMA,BELEM,CASA COMERCIAL,"-1,442363481","-48,47189128",11:00:00
