ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2024,SETEMBRO,TER,TELEGRAFO SEM FIO,BELEM,VIA PUBLICA,"-1,4330304","-48,4840507",17:50:00
2024,SETEMBRO,SEG,TAPANA,ICOARACI,VIA PUBLICA,"-1,34123","-48,4734701",13:00:00
2024,OUTUBRO,QUA,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,4091803","-48,438745",21:00:00
2024,OUTUBRO,DOM,JURUNAS,BELEM,VIA PUBLICA,"-1,4682618","-48,4928295",06:10:00
2024,OUTUBRO,DOM,MARACACUERA,ICOARACI,VIA PUBLICA,"-1,2997407","-48,44716",03:00:00
2024,NOVEMBRO,DOM,AGULHA,ICOARACI,VIA PUBLICA,"-1,3553564","-48,4480774",20:00:00
2024,NOVEMBRO,SEX,BATISTA CAMPOS,BELEM,VIA PUBLICA,"-1,458631","-48,4870144",04:00:00
2024,NOVEMBRO,SEX,BATISTA CAMPOS,BELEM,VIA PUBLICA,"-1,4578062","-48,4872636",03:55:00
2024,NOVEMBRO,QUA,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",22:30:00
2024,DEZEMBRO,DOM,CAMPINA,BELEM,VIA PUBLICA,"-1,4498308","-48,5005344",05:30:00
2024,AGOSTO,SEX,MARACACUERA,ICOARACI,VIA PUBLICA,"-1,2736017","-48,4388915",16:20:00
2024,JULHO,SEG,VILA,MOSQUEIRO,UNIDADE POLICIAL,"-1,1590133","-48,4690059",08:05:00
2024,SETEMBRO,SEX,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3628059","-48,4584425",19:30:00
2024,DEZEMBRO,SAB,MARAMBAIA,BELEM,HOSPITAL,"-1,3980174","-48,4402109",01:20:00
2024,DEZEMBRO,SAB,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3662995","-48,4769942",13:30:00
2024,DEZEMBRO,QUI,CABANAGEM,BELEM,VIA PUBLICA,"-1,3592507","-48,4381231",07:40:00
2024,DEZEMBRO,TER,PONTA GROSSA,ICOARACI,VIA PUBLICA,"-1,2983155800143","-48,484940862704",19:30:00
2024,OUTUBRO,QUA,REDUTO,BELEM,VIA PUBLICA,"-1,4585823","-48,4851628",07:00:00
2024,OUTUBRO,QUA,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",00:10:00
2024,NOVEMBRO,SEX,CARANANDUBA,MOSQUEIRO,VIA PUBLICA,"-1,0942248","-48,4099249",17:20:00
2024,OUTUBRO,TER,TELEGRAFO SEM FIO,BELEM,VIA PUBLICA,"-1,3820107","-48,4873623",11:00:00
2024,MARCO,SAB,TAPANA,ICOARACI,VIA PUBLICA,"-1,3318644","-48,4807533",09:40:00
2024,FEVEREIRO,DOM,UMARIZAL,BELEM,VIA PUBLICA,"-1,4367914","-48,4892967",01:00:00
2024,ABRIL,DOM,VAL-DE-CANS,BELEM,VIA PUBLICA,"-1,3963274","-48,4762786",15:00:00
2024,OUTUBRO,QUA,NAZARE,BELEM,VIA PUBLICA,"-1,4551095","-48,4781863",18:30:00
2024,NOVEMBRO,SAB,VAL-DE-CANS,BELEM,VIA PUBLICA,"-1,459845","-48,487826",06:50:00
2024,DEZEMBRO,SEX,CIDADE VELHA,BELEM,VIA PUBLICA,"-1,4653504","-48,4987924",09:30:00
2024,DEZEMBRO,SEG,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3707269429057","-48,441060662499",07:30:00
2024,DEZEMBRO,SAB,MARCO,BELEM,VIA PUBLICA,"-1,4396848","-48,4568162",07:00:00
2024,ABRIL,QUI,PEDREIRA,BELEM,VIA PUBLICA,"-1,4289493","-48,4690999",14:00:00
2024,DEZEMBRO,SEG,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",06:00:00
2024,DEZEMBRO,SEX,MARCO,BELEM,HOSPITAL,"-1,4424653","-48,4689773",09:15:00
2024,MAIO,TER,AGULHA,ICOARACI,VIA PUBLICA,"-1,305185","-48,4727767",06:00:00
2024,MARCO,QUA,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3501429","-48,4526729",21:40:00
2024,MARCO,SAB,TAPANA,ICOARACI,VIA PUBLICA,"-1,3318644","-48,4807533",09:40:00
2024,JULHO,QUA,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3662995","-48,4769942",20:00:00
2024,JULHO,QUI,UMARIZAL,BELEM,VIA PUBLICA,"-1,4362609","-48,491696",17:00:00
2024,JULHO,SEG,TENONE,ICOARACI,OUTROS,"-1,3184982","-48,4524588",01:00:00
2024,JANEIRO,TER,CAMPINA DE ICOARACI,ICOARACI,VIA PUBLICA,"-1,3012257","-48,469819",19:00:00
2024,JANEIRO,SEG,TAPANA,ICOARACI,VIA PUBLICA,"-1,34123","-48,4734701",04:15:00
2024,JANEIRO,DOM,MARCO,BELEM,VIA FERREA,"-1,4512501","-48,4466771",02:10:00
2024,JANEIRO,DOM,CRUZEIRO,ICOARACI,VIA PUBLICA,"-1,3003065","-48,4825513",21:30:00
2024,JANEIRO,QUA,GUAMA,BELEM,VIA PUBLICA,"-1,4654928","-48,4683227",20:50:00
2024,JANEIRO,DOM,PEDREIRA,BELEM,VIA PUBLICA,"-1,4275484","-48,4728475",02:00:00
2024,JANEIRO,SEG,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4648412","-48,455453",23:30:00
2024,JANEIRO,SAB,GUAMA,BELEM,VIA PUBLICA,"-1,4623457","-48,468126",11:35:00
2024,AGOSTO,SEX,SOUZA,BELEM,VIA PUBLICA,"-1,4193701","-48,4472228",15:00:00
2024,AGOSTO,TER,CRUZEIRO,ICOARACI,VIA PUBLICA,"-1,3003065","-48,4825513",15:31:00
