ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,MAIO,SEX,PEDREIRA,BELEM,VIA PUBLICA,"-1,4269892","-48,4709057",17:50:00
2019,JANEIRO,QUI,CONDOR,BELEM,VIA PUBLICA,"-1,4732157","-48,4804003",02:40:00
2019,SETEMBRO,DOM,AGULHA,ICOARACI,VIA PUBLICA,"-1,3026414","-48,476659",02:30:00
2019,JULHO,DOM,REDUTO,BELEM,RESIDENCIA PARTICULAR,"-1,4485689","-48,4947781",20:00:00
2019,AGOSTO,SAB,PORTO ARTHUR,MOSQUEIRO,VIA PUBLICA,"-1,13128","-48,45088",14:59:00
2019,DEZEMBRO,TER,BAIA DO SOL,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,06644","-48,34098",20:30:00
2019,DEZEMBRO,TER,BAIA DO SOL,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,06644","-48,34098",20:30:00
2019,OUTUBRO,SEX,MARCO,BELEM,VIA PUBLICA,"-1,4289876","-48,4635552",20:30:00
2019,SETEMBRO,DOM,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3561498","-48,458679",01:00:00
2019,OUTUBRO,TER,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4132476","-48,4743087",22:40:00
2019,JANEIRO,QUI,CARANANDUBA,BELEM,CASA COMERCIAL,"-1,0942248","-48,4099249",01:20:00
2019,JULHO,SEX,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3179403","-48,4405604",12:00:00
2019,MAIO,SAB,BRASILIA,OUTEIRO,CASA COMERCIAL,"-1,2857239","-48,478793",13:35:00
2019,JANEIRO,DOM,CIDADE VELHA,BELEM,VIA PUBLICA,"-1,467512106854164","-48,500980138778694",10:00:00
2019,ABRIL,TER,CABANAGEM,BELEM,VIA PUBLICA,"-1,3647448","-48,4310461",21:30:00
2019,JULHO,SEG,AEROPORTO,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,1426619","-48,4586543",08:00:00
2019,JULHO,SAB,MARAMBAIA,BELEM,VIA PUBLICA,"-1,4017055","-48,4544588",09:00:00
2019,JULHO,QUI,PEDREIRA,BELEM,VIA PUBLICA,"-1,428569","-48,4739577",21:30:00
2019,SETEMBRO,DOM,SAO BRAS,BELEM,VIA PUBLICA,"-1,4518221","-48,4745785",21:00:00
2019,OUTUBRO,TER,PEDREIRA,BELEM,VIA PUBLICA,"-1,4346219","-48,4773349",16:15:00
2019,FEVEREIRO,SAB,CASTANHEIRA,BELEM,CASA COMERCIAL,"-1,3997104","-48,4316282",13:20:00
2019,ABRIL,TER,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,4190834","-48,4800355",11:15:00
2019,FEVEREIRO,TER,TAPANA,ICOARACI,VIA PUBLICA,"-1,3393092","-48,4755969",21:00:00
2019,JANEIRO,TER,CREMACAO,BELEM,VIA PUBLICA,"-1,4580827","-48,477782",13:30:00
2019,JANEIRO,QUA,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4053772","-48,4473586",18:20:00
2020,AGOSTO,SEG,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3179403","-48,4405604",07:00:00
2020,DEZEMBRO,QUA,PRATINHA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3662995","-48,4769942",14:50:00
2020,ABRIL,QUA,JURUNAS,BELEM,VIA PUBLICA,"-1,4678074","-48,4861787",01:00:00
2020,MAIO,SAB,MARCO,BELEM,VIA PUBLICA,"-1,4289876","-48,4635552",15:00:00
2020,FEVEREIRO,SEX,CABANAGEM,BELEM,VIA PUBLICA,"-1,36707","-48,43702",19:50:00
2020,FEVEREIRO,QUA,CRUZEIRO,ICOARACI,VIA PUBLICA,"-1,29194","-48,48166",19:30:00
2020,OUTUBRO,SEG,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,2572576473895","-48,455938693115",02:30:00
2021,NOVEMBRO,TER,AGUAS NEGRAS,ICOARACI,VIA PUBLICA,"-1,29963","-48,4593907",16:00:00
2021,JULHO,SEG,SAO JOAO DO OUTEIRO,OUTEIRO,RESIDENCIA PARTICULAR,"-1,2680807","-48,4728245",10:30:00
2021,ABRIL,QUI,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,3829419","-48,4495246",21:30:00
2021,SETEMBRO,TER,CAMPINA,BELEM,VIA PUBLICA,"-1,4505982181111","-48,501500487328",17:00:00
2021,JUNHO,TER,SAO BRAS,BELEM,VIA PUBLICA,"-1,4490719","-48,4846398",13:35:00
2021,JANEIRO,QUI,CREMACAO,BELEM,VIA PUBLICA,"-1,4633108","-48,4838826",20:30:00
2021,FEVEREIRO,QUA,CASTANHEIRA,BELEM,RESIDENCIA PARTICULAR,"-1,398665","-48,432522",17:00:00
2021,FEVEREIRO,SAB,VILA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,15315","-48,46787",16:50:00
2021,DEZEMBRO,QUI,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4053772","-48,4473586",19:00:00
2021,FEVEREIRO,SAB,SAO BRAS,BELEM,VIA PUBLICA,"-1,4523329","-48,4666593",04:00:00
