ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude
2019,ABRIL,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3501429","-48,4526729"
2019,MARCO,AGULHA,ICOARACI,VIA PUBLICA,"-1,3085504","-48,4712386"
2019,MARCO,AGULHA,ICOARACI,VIA PUBLICA,"-1,3101097","-48,4585109"
2019,SETEMBRO,PONTA GROSSA,ICOARACI,ESTABELECIMENTO DE ENSINO,"-1,307848","-48,4718912"
2019,SETEMBRO,PONTA GROSSA,ICOARACI,ESTABELECIMENTO DE ENSINO,"-1,307848","-48,4718912"
2019,NOVEMBRO,CRUZEIRO,ICOARACI,RESIDENCIA PARTICULAR,"-1,3021109","-48,4833374"
2019,NOVEMBRO,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,3499116","-48,4455087"
2019,NOVEMBRO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3457478","-48,4520291"
2019,NOVEMBRO,AGUAS NEGRAS,ICOARACI,CASA COMERCIAL,"-1,3101097","-48,4585109"
2019,DEZEMBRO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3517735","-48,4686437"
2019,DEZEMBRO,PARACURI,ICOARACI,VIA PUBLICA,"-1,310333497","-48,47949847"
2019,DEZEMBRO,SACRAMENTA,BELEM,HABITACAO COLETIVA,"-1,4132476","-48,4743087"
2019,DEZEMBRO,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3662995","-48,4769942"
2019,JANEIRO,CIDADE VELHA,BELEM,RESIDENCIA PARTICULAR,"-1,4595694","-48,5002773"
2019,JANEIRO,CIDADE VELHA,BELEM,RESIDENCIA PARTICULAR,"-1,4595694","-48,5002773"
2019,MARCO,REDUTO,BELEM,OUTROS,"-1,4485689","-48,4947781"
2019,JUNHO,CIDADE VELHA,BELEM,RESIDENCIA PARTICULAR,"-1,4771739","-48,4871691"
2019,JUNHO,UMARIZAL,BELEM,OUTROS,"-1,4436202","-48,4899288"
2019,OUTUBRO,CONDOR,BELEM,LOGRADORO PUBLICO,"-1,4708883","-48,4773171"
2019,JUNHO,CIDADE VELHA,BELEM,RESIDENCIA PARTICULAR,"-1,4685627","-48,4941844"
2019,JULHO,CREMACAO,BELEM,"HOTEL, PENSAO, ETC","-1,4587894","-48,4820911"
2019,JULHO,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4594587","-48,4943424"
2019,AGOSTO,JURUNAS,BELEM,VIA PUBLICA,"-1,4698148","-48,4938297"
2019,OUTUBRO,NAZARE,BELEM,VIA PUBLICA,"-1,4439899","-48,4866582"
2019,ABRIL,MARCO,BELEM,VIA PUBLICA,"-1,4467872","-48,4538157"
2019,MAIO,MARCO,BELEM,OUTROS,"-1,4326653","-48,4638736"
2019,MAIO,SOUZA,BELEM,VIA PUBLICA,"-1,4274526","-48,4524073"
2019,SETEMBRO,CURIO-UTINGA,BELEM,RESIDENCIA PARTICULAR,"-1,4368186","-48,4371381"
2019,OUTUBRO,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4226041","-48,4453585"
2019,OUTUBRO,MARCO,BELEM,OUTROS,"-1,4316152","-48,4552853"
2019,NOVEMBRO,CURIO-UTINGA,BELEM,OUTROS,"-1,4302112","-48,4449063"
2019,NOVEMBRO,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,434366","-48,455373"
2019,MAIO,SOUZA,BELEM,OUTROS,"-1,4274526","-48,4524073"
2019,FEVEREIRO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4554559","-48,4521573"
2019,FEVEREIRO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,335588","-48,4688014"
2019,FEVEREIRO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4289493","-48,4690999"
2019,NOVEMBRO,MARCO,BELEM,RESIDENCIA PARTICULAR,"-1,4401607","-48,4646987"
2019,MAIO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4289445","-48,4690729"
2019,MAIO,TELEGRAFO SEM FIO,BELEM,VIA PUBLICA,"-1,4361868","-48,4867537"
2019,JUNHO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,432554","-48,465162"
2019,AGOSTO,UMARIZAL,BELEM,RESIDENCIA PARTICULAR,"-1,4347453","-48,4861998"
2019,AGOSTO,TELEGRAFO SEM FIO,BELEM,RESIDENCIA PARTICULAR,"-1,419825","-48,4903546"
2019,AGOSTO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4190834","-48,4800355"
2019,OUTUBRO,UMARIZAL,BELEM,ESTABELECIMENTO DE ENSINO,"-1,4557269","-48,4773841"
2019,NOVEMBRO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4289493","-48,4690999"
2019,DEZEMBRO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4302445","-48,4660556"
2019,FEVEREIRO,JURUNAS,BELEM,VIA PUBLICA,"-1,4687566","-48,4900951"
2019,JANEIRO,CURIO-UTINGA,BELEM,OUTROS,"-1,4226041","-48,4453585"
2019,DEZEMBRO,MARCO,BELEM,OUTROS,"-1,4443646","-48,4515939"
2019,DEZEMBRO,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4368186","-48,4371381"
2019,MARCO,SAO CLEMENTE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3701807","-48,4618288"
2019,MARCO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4207166","-48,4654652"
2019,MAIO,MARACANGALHA,BELEM,CASA COMERCIAL,"-1,4035376","-48,4739327"
2019,JUNHO,CREMACAO,BELEM,CONDOMINIO RESIDENCIAL,"-1,457277","-48,4804703"
2019,JULHO,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4590833","-48,4621679"
2019,JUNHO,JURUNAS,BELEM,"CAFE, BAR, RESTAURANTE","-1,4667991","-48,4890709"
2019,JUNHO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4037723","-48,4393536"
2019,JUNHO,CURIO-UTINGA,BELEM,LOGRADORO PUBLICO,"-1,4368186","-48,4371381"
2019,AGOSTO,NAZARE,BELEM,VIA PUBLICA,"-1,4541261","-48,4817083"
2019,JANEIRO,CABANAGEM,BELEM,VIA PUBLICA,"-1,359296467","-48,43871534"
2019,DEZEMBRO,SAO JOAO DO OUTEIRO,OUTEIRO,VIA PUBLICA,"-1,2654142","-48,4740672"
2019,OUTUBRO,TELEGRAFO SEM FIO,BELEM,VIA PUBLICA,"-1,4285359","-48,4859837"
2019,OUTUBRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,447894","-48,4628953"
2019,ABRIL,CABANAGEM,BELEM,RESIDENCIA PARTICULAR,"-1,3747364","-48,4322005"
2019,JUNHO,UNA,BELEM,CASA COMERCIAL,"-1,3765549","-48,425966"
2019,MAIO,JURUNAS,BELEM,VIA PUBLICA,"-1,4685388","-48,4991181"
2019,MAIO,CONDOR,BELEM,RESIDENCIA PARTICULAR,"-1,4582393","-48,4636678"
2019,NOVEMBRO,COQUEIRO BELEM,BELEM,RESIDENCIA PARTICULAR,"-1,3471907","-48,4469434"
2019,DEZEMBRO,MARCO,BELEM,VIA PUBLICA,"-1,4396848","-48,4568162"
2019,SETEMBRO,FAROL,MOSQUEIRO,VIA PUBLICA,"-1,1414422","-48,4622881"
2019,SETEMBRO,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0942248","-48,4099249"
2019,OUTUBRO,MARCO,BELEM,VIA PUBLICA,"-1,436478188","-48,45888019"
