ano,mes,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,MAIO,TELEGRAFO SEM FIO,BELEM,VIA PUBLICA,"-1,4193919","-48,4872047",19:00:00
2019,NOVEMBRO,CAMPINA,BELEM,VIA PUBLICA,"-1,4538789","-48,5033061",17:00:00
2019,MAIO,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,3491886","-48,4482049",15:30:00
2019,MARCO,VILA,MOSQUEIRO,VIA PUBLICA,"-1,1590133","-48,4690059",08:00:00
2019,MAIO,ITAITEUA,OUTEIRO,TRANSPORTE,"-1,27089","-48,44775",11:15:00
2019,JUNHO,CIDADE VELHA,BELEM,VIA PUBLICA,"-1,456538","-48,5057884",03:00:00
2020,NOVEMBRO,JURUNAS,BELEM,VIA PUBLICA,"-1,4708179","-48,493828",10:00:00
2020,OUTUBRO,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4648412","-48,455453",20:00:00
2020,JULHO,PEDREIRA,BELEM,VIA PUBLICA,"-1,4324048","-48,4781301",04:30:00
2020,MAIO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,349067","-48,4628322",17:00:00
2020,DEZEMBRO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4302445","-48,4660556",04:00:00
2020,JUNHO,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4317141","-48,4484483",17:00:00
2020,JANEIRO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,32497","-48,43925",07:30:00
2020,DEZEMBRO,CABANAGEM,BELEM,VIA PUBLICA,"-1,3612206","-48,4383898",03:00:00
2020,DEZEMBRO,ARIRAMBA,MOSQUEIRO,VIA PUBLICA,"-1,11902","-48,43459",15:30:00
2020,AGOSTO,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3365682","-48,4779835",07:00:00
2020,DEZEMBRO,PEDREIRA,BELEM,RESIDENCIA PARTICULAR,"-1,4384596","-48,4698964",19:30:00
2021,MARCO,CANUDOS,BELEM,CONDOMINIO RESIDENCIAL,"-1,4487403","-48,45704",10:00:00
2021,AGOSTO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4102972","-48,4767781",00:30:00
2021,MARCO,REDUTO,BELEM,VIA PUBLICA,"-1,4460735","-48,4924716",23:56:00
2021,OUTUBRO,CAMPINA,BELEM,HOSPITAL,"-1,4498308","-48,5005344",21:55:00
2021,JANEIRO,CAMPINA,BELEM,VIA PUBLICA,"-1,4513001","-48,4966613",16:30:00
2021,ABRIL,UMARIZAL,BELEM,VIA PUBLICA,"-1,4341024965095963","-48,49094867706299",02:00:00
2021,JULHO,AGULHA,ICOARACI,HOSPITAL,"-1,3101097","-48,4585109",14:20:00
2022,JUNHO,CAMPINA DE ICOARACI,ICOARACI,VIA PUBLICA,"-1,3101097","-48,4585109",19:00:00
2022,MAIO,AGUAS NEGRAS,ICOARACI,VIA PUBLICA,"-1,302468","-48,460859",23:00:00
2022,MARCO,SAO BRAS,BELEM,RESIDENCIA PARTICULAR,"-1,4524683","-48,4643227",20:30:00
2022,NOVEMBRO,TAPANA,ICOARACI,RESIDENCIA,"-1,330335259","-48,476337433",14:00:00
2022,JANEIRO,CIDADE VELHA,BELEM,VIA PUBLICA,"-1,4593732","-48,4989355",23:00:00
2022,JUNHO,TENONE,ICOARACI,RESIDENCIA PARTICULAR,"-1,3310227","-48,4058485",19:00:00
2023,JULHO,SAO JOAO DO OUTEIRO,OUTEIRO,"CAFE, BAR, RESTAURANTE","-1,2654142","-48,4740672",19:00:00
2023,DEZEMBRO,TAPANA,ICOARACI,VIA PUBLICA,"-1,3163264","-48,47668",17:00:00
2023,AGOSTO,GUAMA,BELEM,VIA PUBLICA,"-1,4599218","-48,4611104",17:00:00
2023,MAIO,GUAMA,BELEM,VIA PUBLICA,"-1,4681356","-48,4757246",18:00:00
2023,SETEMBRO,GUAMA,BELEM,VIA PUBLICA,"-1,4576614","-48,4721744",19:30:00
2023,JANEIRO,BARREIRO,BELEM,SEM INFORMACAO,"-1,4137728","-48,4843526",08:30:00
2023,JUNHO,CREMACAO,BELEM,LOGRADORO PUBLICO,"-1,4643559","-48,4723655",02:04:00
2023,DEZEMBRO,CAMPINA,BELEM,VIA PUBLICA,"-1,4498308","-48,5005344",18:00:00
2023,DEZEMBRO,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4500967","-48,4765001",19:00:00
2023,NOVEMBRO,GUAMA,BELEM,EDIFICIO PUBLICO,"-1,4684816","-48,4673307",20:05:00
2024,SETEMBRO,AGULHA,ICOARACI,VIA PUBLICA,"-1,3101097","-48,4585109",04:50:00
2024,MAIO,GUAMA,BELEM,HOSPITAL,"-1,4684816","-48,4673307",18:30:00
2024,AGOSTO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4165847","-48,4857801",02:00:00
2024,AGOSTO,CURIO-UTINGA,BELEM,SEM INFORMACAO,"-1,4277015","-48,4443785",23:00:00
2024,FEVEREIRO,UMARIZAL,BELEM,VIA PUBLICA,"-1,4400015004069893","-48,480724096298225",17:10:00
2024,JULHO,MARACANGALHA,BELEM,RESIDENCIA PARTICULAR,"-1,4006868","-48,4911489",16:00:00
2024,OUTUBRO,CREMACAO,BELEM,VIA PUBLICA,"-1,4557269","-48,4773841",02:30:00
2024,FEVEREIRO,CABANAGEM,BELEM,VIA PUBLICA,"-1,3980174","-48,4402109",09:00:00
2024,JULHO,JURUNAS,BELEM,SEM INFORMACAO,"-1,470966816","-48,501560211",14:38:00
2024,ABRIL,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,383837","-48,4378546",03:00:00
2025,JANEIRO,MARAMBAIA,BELEM,RESIDENCIA PARTICULAR,"-1,4053772","-48,4473586",23:30:00
2025,AGOSTO,GUAMA,BELEM,VIA PUBLICA,"-1,4672942","-48,4612573",13:20:00
2025,MAIO,PARQUE GUAJARA,ICOARACI,VIA PUBLICA,"-1,321894","-48,4504714",12:40:00
2025,JANEIRO,SAO BRAS,BELEM,VIA PUBLICA,"-1,4390939","-48,4610921",18:00:00
2025,ABRIL,SACRAMENTA,BELEM,VIA PUBLICA,"-1,4212478","-48,4778208",22:21:00
2025,MAIO,JURUNAS,BELEM,VIA PUBLICA,"-1,4687566","-48,4900951",19:00:00
2025,JULHO,SACRAMENTA,BELEM,VIA PUBLICA,"-1,420662","-48,4803388",16:00:00
2025,JULHO,CAMPINA,BELEM,VIA PUBLICA,"-1,4498308","-48,5005344",20:30:00
