ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,ABRIL,SEG,AGULHA,ICOARACI,VIA PUBLICA,"-1,3101097","-48,4585109",20:30:00
2019,MAIO,QUA,CAMPINA,BELEM,VIA PUBLICA,"-1,4513282","-48,4966607",14:25:00
2019,ABRIL,SEX,CAMPINA,BELEM,VIA PUBLICA,"-1,4530405","-48,5008094",14:00:00
2019,MAIO,QUI,CAMPINA,BELEM,VIA PUBLICA,"-1,4513001","-48,4966613",19:30:00
2019,SETEMBRO,QUI,CURIO-UTINGA,BELEM,VIA PUBLICA,"-1,4226041","-48,4453585",06:45:00
2019,SETEMBRO,SEX,MARCO,BELEM,VIA PUBLICA,"-1,445837","-48,4560625",14:20:00
2019,SETEMBRO,SEX,MARCO,BELEM,VIA PUBLICA,"-1,4358516","-48,4618163",12:40:00
2019,SETEMBRO,SEX,MARCO,BELEM,VIA PUBLICA,"-1,4418839","-48,4649942",10:30:00
2019,SETEMBRO,SEX,MARCO,BELEM,VIA PUBLICA,"-1,4396848","-48,4568162",14:20:00
2019,JANEIRO,DOM,PEDREIRA,BELEM,VIA PUBLICA,"-1,434701","-48,4675376",19:00:00
2019,MARCO,TER,PRATINHA,ICOARACI,VIA PUBLICA,"-1,3614052","-48,4722494",14:00:00
2019,JUNHO,QUI,PEDREIRA,BELEM,VIA PUBLICA,"-1,4243658","-48,4695777",11:45:00
2019,MARCO,SEX,JURUNAS,BELEM,VIA PUBLICA,"-1,4703532","-48,4919312",18:30:00
2019,JANEIRO,TER,MARCO,BELEM,TRANSPORTE,"-1,4316152","-48,4552853",22:10:00
2019,JANEIRO,SEG,UMARIZAL,BELEM,TRANSPORTE,"-1,4220631","-48,4821358",08:00:00
2019,MARCO,SEG,MARAMBAIA,BELEM,VIA PUBLICA ,"-1,3950533","-48,447774",13:30:00
2019,MARCO,QUI,MARCO,BELEM,VIA PUBLICA,"-1,4457426","-48,457402",08:30:00
2019,MAIO,TER,GUAMA,BELEM,VIA PUBLICA,"-1,4684816","-48,4673307",00:15:00
2019,SETEMBRO,SEX,CHAPEU VIRADO,MOSQUEIRO,VIA PUBLICA,"-1,1354172","-48,4579428",04:30:00
2019,AGOSTO,TER,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,3787812","-48,4411683",23:15:00
2019,SETEMBRO,SEG,CHAPEU VIRADO,MOSQUEIRO,VIA PUBLICA,"-1,1339439","-48,4557544",00:10:00
2019,MAIO,SEG,UMARIZAL,BELEM,LOJA ,"-1,442961","-48,4785125",09:00:00
2019,JANEIRO,QUA,CABANAGEM,BELEM,VIA PUBLICA,"-1,3661643","-48,4303929",12:30:00
2019,MARCO,DOM,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,37604796","-48,4128585",22:20:00
2019,ABRIL,TER,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,3389765","-48,4435117",20:40:00
2019,ABRIL,SEX,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4464919","-48,4503837",02:00:00
2019,SETEMBRO,SEG,MARAMBAIA,BELEM,VIA PUBLICA,"-1,3963108","-48,4347662",06:00:00
2019,SETEMBRO,SAB,COQUEIRO BELEM,BELEM,VIA PUBLICA,"-1,4000925","-48,4432152",16:30:00
2019,FEVEREIRO,SEX,SAO BRAS,BELEM,VIA PUBLICA,"-1,4485029","-48,4774662",17:00:00
2019,MAIO,SEX,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4547658","-48,4464829",18:40:00
2019,JUNHO,SEX,TERRA FIRME,BELEM,VIA PUBLICA,"-1,4604748","-48,4539398",14:00:00
2019,SETEMBRO,QUI,GUAMA,BELEM,VIA PUBLICA,"-1,4651534","-48,4549256",23:45:00
2019,FEVEREIRO,DOM,CAMPINA,BELEM,VIA PUBLICA,"-1,4637279","-48,4865643",01:30:00
2019,MARCO,TER,SAO JOAO DO OUTEIRO,OUTEIRO,VIA PUBLICA,"-1,264031338","-48,46990699",10:00:00
2019,SETEMBRO,DOM,CASTANHEIRA,BELEM,VIA PUBLICA,"-1,3975105","-48,4335245",13:40:00
2019,JANEIRO,SEG,BENGUI,BELEM,VIA PUBLICA,"-1,3747525","-48,4632821",11:30:00
2019,JANEIRO,QUI,MANGUEIRAO,BELEM,VIA PUBLICA,"-1,3813786","-48,456247",19:00:00
2019,JANEIRO,SAB,TAPANA,ICOARACI,VIA PUBLICA,"-1,3586644","-48,4629946",21:00:00
2019,FEVEREIRO,TER,SAO CLEMENTE,ICOARACI,VIA PUBLICA,"-1,344113588","-48,460929871",16:20:00
2019,ABRIL,DOM,PARQUE VERDE,BELEM,TRANSPORTE,"-1,3851244","-48,4602",20:00:00
2019,MAIO,QUA,BENGUI,BELEM,VIA PUBLICA,"-1,3734273","-48,449455",22:30:00
2019,FEVEREIRO,DOM,TERRA FIRME,BELEM,VIA PUBLICA,,,12:03:00
2019,FEVEREIRO,DOM,PEDREIRA,BELEM,VIA PUBLICA,,,02:30:00
2019,JANEIRO,TER,TAPANA,ICOARACI,VIA PUBLICA,,,19:00:00
2019,JANEIRO,DOM,CAMPINA,BELEM,VIA PUBLICA,,,20:00:00
2019,MARCO,DOM,BENGUI,BELEM,LOJAS DE CONVENIENCIA,,,22:00:00
2019,MARCO,QUI,TELEGRAFO SEM FIO,BELEM,OUTROS,,,21:40:00
2019,JANEIRO,SAB,PONTA GROSSA,ICOARACI,VIA PUBLICA,,,07:00:00
2019,MARCO,QUI,MARCO,BELEM,VIA PUBLICA,,,00:35:00
2019,JANEIRO,DOM,GUAMA,BELEM,VIA PUBLICA,,,19:00:00
2019,JANEIRO,SEG,JURUNAS,BELEM,VIA PUBLICA,,,19:30:00
2019,JANEIRO,TER,CONDOR,BELEM,VIA PUBLICA,,,14:00:00
2019,JANEIRO,TER,TAPANA,ICOARACI,VIA PUBLICA,,,14:00:00
2019,JANEIRO,TER,JURUNAS,BELEM,VIA PUBLICA,,,18:30:00
2019,JANEIRO,TER,SACRAMENTA,BELEM,VIA PUBLICA,,,21:30:00
2019,JANEIRO,TER,JURUNAS,BELEM,VIA PUBLICA,,,18:00:00
2019,JANEIRO,TER,MARAMBAIA,BELEM,VIA PUBLICA,,,19:00:00
2019,JANEIRO,QUA,REDUTO,BELEM,VIA PUBLICA,,,20:40:00
2019,JANEIRO,SAB,CASTANHEIRA,BELEM,VIA PUBLICA,,,11:30:00
2019,JANEIRO,SEG,CRUZEIRO,ICOARACI,VIA PUBLICA,,,23:00:00
2019,JANEIRO,QUI,MANGUEIRAO,BELEM,VIA PUBLICA,,,06:40:00
2019,JANEIRO,SEG,SACRAMENTA,BELEM,VIA PUBLICA,,,09:00:00
