ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,AGOSTO,TER,JURUNAS,BELEM,CASA COMERCIAL,"-1,4693695","-48,4863504",10:30:00
2019,DEZEMBRO,DOM,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,47293","-48,4904923",19:30:00
2019,JANEIRO,QUA,VILA,MOSQUEIRO,VIA PUBLICA,"-1,1621577","-48,4695191",11:31:00
2019,FEVEREIRO,QUA,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0942248","-48,4099249",10:30:00
2019,OUTUBRO,QUA,BARREIRO,BELEM,VIA PUBLICA,"-1,4165663","-48,4836171",15:40:00
2019,MAIO,QUI,SAO JOAO DO OUTEIRO,OUTEIRO,VIA PUBLICA,"-1,2611158","-48,4670931",16:20:00
2019,MAIO,QUI,SACRAMENTA,BELEM,RESIDENCIA PARTICULAR,"-1,411894","-48,4796842",21:00:00
2019,NOVEMBRO,QUI,MARCO,BELEM,VIA PUBLICA,"-1,439400875","-48,46043587",16:00:00
2019,ABRIL,SEG,TERRA FIRME,BELEM,RESIDENCIA PARTICULAR,"-1,4565321","-48,4518258",18:00:00
2019,MAIO,QUI,JURUNAS,BELEM,RESIDENCIA PARTICULAR,"-1,4693695","-48,4863504",17:05:00
2019,JULHO,SEG,CARANANDUBA,MOSQUEIRO,RESIDENCIA PARTICULAR,"-1,0942248","-48,4099249",14:00:00
2019,JUNHO,DOM,CAMPINA,BELEM,VIA PUBLICA,"-1,4475185","-48,4984062",14:00:00
2019,JANEIRO,QUA,AGUA BOA,OUTEIRO,VIA PUBLICA,"-1,2477237","-48,4567686",12:00:00
2019,DEZEMBRO,QUI,BATISTA CAMPOS,BELEM,VIA PUBLICA,"-1,4578062","-48,4872636",18:00:00
2019,JANEIRO,QUA,TAPANA,ICOARACI,RESIDENCIA PARTICULAR,"-1,3260005","-48,4753574",11:30:00
2019,MAIO,SEX,PARQUE VERDE,BELEM,VIA PUBLICA,"-1,3717649","-48,4404288",16:50:00
2019,JUNHO,SEX,CAMPINA DE ICOARACI,ICOARACI,VIA PUBLICA,"-1,2949886","-48,4699377",21:30:00
2019,FEVEREIRO,TER,PARQUE VERDE,BELEM,RESIDENCIA PARTICULAR,"-1,3577792","-48,448103",12:15:00
2019,SETEMBRO,SEX,BENGUI,BELEM,RESIDENCIA PARTICULAR,"-1,3630281","-48,4585173",17:45:00
2019,MAIO,QUA,GUAMA,BELEM,RESIDENCIA PARTICULAR,"-1,4638866","-48,4632953",15:14:00
